lon;lat;ele;time
37.238298;-3.164541;1972.4;2020-01-26-11-40-35
37.238308;-3.164505;1972.7;2020-01-26-11-40-40
37.238315;-3.164475;1972.9;2020-01-26-11-40-43
37.23832;-3.164449;1972.9;2020-01-26-11-40-45
37.238326;-3.164417;1973;2020-01-26-11-40-48
37.238334;-3.164385;1973;2020-01-26-11-40-51
37.238342;-3.164358;1973;2020-01-26-11-40-54
37.238353;-3.164325;1973.1;2020-01-26-11-40-56
37.238366;-3.164288;1973.1;2020-01-26-11-41-00
37.238372;-3.164258;1973.1;2020-01-26-11-41-02
37.238378;-3.164222;1973;2020-01-26-11-41-05
37.238383;-3.164189;1973;2020-01-26-11-41-07
37.238389;-3.164152;1972.9;2020-01-26-11-41-10
37.238394;-3.164119;1972.8;2020-01-26-11-41-13
37.2384;-3.164083;1972.8;2020-01-26-11-41-15
37.238408;-3.164046;1972.8;2020-01-26-11-41-19
37.238417;-3.164012;1972.9;2020-01-26-11-41-21
37.238423;-3.163982;1973;2020-01-26-11-41-24
37.23843;-3.163953;1973.1;2020-01-26-11-41-26
37.238437;-3.163926;1973.1;2020-01-26-11-41-29
37.238446;-3.16389;1973.1;2020-01-26-11-41-32
37.238457;-3.163851;1973.1;2020-01-26-11-41-35
37.23847;-3.163816;1973.1;2020-01-26-11-41-38
37.238483;-3.163783;1972.9;2020-01-26-11-41-41
37.238495;-3.163753;1972.7;2020-01-26-11-41-44
37.238507;-3.163727;1972.6;2020-01-26-11-41-47
37.238521;-3.16369;1972.4;2020-01-26-11-41-51
37.238529;-3.163661;1972.2;2020-01-26-11-41-53
37.238538;-3.163634;1972;2020-01-26-11-41-56
37.238548;-3.163607;1971.8;2020-01-26-11-41-59
37.238561;-3.163563;1971.8;2020-01-26-11-42-03
37.238569;-3.163534;1971.6;2020-01-26-11-42-05
37.238578;-3.163508;1971.4;2020-01-26-11-42-08
37.238589;-3.16348;1971.2;2020-01-26-11-42-10
37.238607;-3.163446;1970.9;2020-01-26-11-42-14
37.238624;-3.16342;1970.7;2020-01-26-11-42-17
37.238638;-3.163396;1970.5;2020-01-26-11-42-19
37.238662;-3.163361;1970.3;2020-01-26-11-42-23
37.238687;-3.163331;1970;2020-01-26-11-42-27
37.238711;-3.163307;1969.9;2020-01-26-11-42-31
37.238731;-3.163288;1969.7;2020-01-26-11-42-34
37.238756;-3.16326;1969.6;2020-01-26-11-42-38
37.238779;-3.163231;1969.6;2020-01-26-11-42-42
37.238803;-3.163204;1969.7;2020-01-26-11-42-46
37.238824;-3.163179;1969.8;2020-01-26-11-42-49
37.238843;-3.163156;1969.9;2020-01-26-11-42-51
37.238862;-3.163127;1970;2020-01-26-11-42-54
37.238879;-3.163094;1970.2;2020-01-26-11-42-57
37.238893;-3.163056;1970.3;2020-01-26-11-42-59
37.238914;-3.163015;1970.2;2020-01-26-11-43-03
37.238927;-3.162989;1970.2;2020-01-26-11-43-06
37.238943;-3.162958;1970.1;2020-01-26-11-43-09
37.238959;-3.162929;1970;2020-01-26-11-43-12
37.238976;-3.162902;1969.9;2020-01-26-11-43-14
37.239001;-3.162866;1969.7;2020-01-26-11-43-19
37.239019;-3.162843;1969.5;2020-01-26-11-43-22
37.239039;-3.162815;1969.3;2020-01-26-11-43-26
37.239054;-3.162778;1969;2020-01-26-11-43-30
37.239071;-3.162742;1968.5;2020-01-26-11-43-35
37.239092;-3.162709;1968;2020-01-26-11-43-39
37.239114;-3.16268;1967.7;2020-01-26-11-43-43
37.239136;-3.162653;1967.4;2020-01-26-11-43-47
37.239147;-3.162623;1967.2;2020-01-26-11-43-50
37.239151;-3.162594;1967.1;2020-01-26-11-43-52
37.239154;-3.162555;1966.8;2020-01-26-11-43-54
37.239156;-3.162506;1966.4;2020-01-26-11-43-58
37.239159;-3.162464;1966.2;2020-01-26-11-44-01
37.239162;-3.162427;1966;2020-01-26-11-44-04
37.239164;-3.16239;1965.9;2020-01-26-11-44-06
37.239166;-3.162359;1965.9;2020-01-26-11-44-09
37.239167;-3.162316;1966;2020-01-26-11-44-14
37.23917;-3.162289;1966.1;2020-01-26-11-44-16
37.239173;-3.162261;1966.2;2020-01-26-11-44-19
37.239176;-3.16223;1966.6;2020-01-26-11-44-22
37.23918;-3.162191;1967;2020-01-26-11-44-25
37.239183;-3.162151;1967.6;2020-01-26-11-44-28
37.239185;-3.162113;1968.1;2020-01-26-11-44-31
37.239186;-3.162079;1968.6;2020-01-26-11-44-34
37.239187;-3.162045;1969;2020-01-26-11-44-37
